RD_ID,RD_MESSAGE,RD_SCORE,RD_VISIT_DATE
3147180,"We were staying 6 nights, at the Pacific Club Resort, from 12th to 18th February. Our hotel was about 10 minutes walk from the beachOn our first day here, while out exploring and taking stock of the area, we did walk to the beach.It was such a disappointment, although the beach is situated in a picturesque bay area it was not very pleasant.There were row upon row of sunloungers and umbrellas, virtually touching each other, absolutely no personal space.There were areas of the beach where it was possible to spread beach mats and towels and enjoy the glorious sunshine. There is no shade here.Karon Park runs along the back of the beach, people were spreading out here under the shade of the trees.There was a variety of water sports available on the beach.",3, February 2020
3147188,Long stretch of sandy beach on which all the amenities are available. Snorkelling from rocks at either end can be hit or miss depending on tide height. Boat trips and water sports also available as well as sun loungers (for a price and get there early) and many refreshment vendors on and set back from beach. Sea generally calm although beach  does shelve quickly,5, February 2020
3147191,"After a week in Khao Lak where the beach is beautiful and cared for...no sunbeds, no smoking allowed, Karon Beach was a huge disappointment, very over crowded and the sea didn't seem as clear and clean as Khao Lak..just a personal view but not for me.",2, February 2020
3147196,"Very long clean beach with a good number of sun beds with umbrellas, sea calm and flat when I visited but I know it can be rough at other times of the year",5, February 2020
3147197,"Long stretch of golden sand , beautiful sunsets. Great beach for everyone young or old. Take your own mats or rent one of the many sunbeds",5, February 2020
3147198,Lovely beach with areas of sun beds but need to get up early to get out. Shame it does not have any food outlets. Lovely sunsets,5, February 2020
3147199,Karon Beach is very nice and safe.  There are plenty of activities to pay for (if you wish) and beds and parasols available.,5, January 2020
3147200,"Sand, crystal water, waves -everything like in heaven, only its very crowded. Well, its peak outthere",4, February 2020
3147203,This is a large public beach with plenty shops and restaurants nearby. There are many sunbeds or you can just sit on the sand.The sand makes a unique squishy sound when you walk. The water is clean and warm.,4, February 2020
3147208,"This is a very long beautiful beach, kept clean,plenty of sunbeds. Sand is soft,sea is clean warm and generally calm this time of the year. Loads of beach vendors,but none are pushy. Difficult to find fault of the beach itself.....lots and lots of Russians,but that applies to Karon  in general.Plenty of beach sports, jet ski etc,if that is your thing. Northern end of the beach is quieter,",4, February 2020
3147211,I do love a lovely beach but I'm afraid I wasn't keen on this one. It was very overcrowded and if you didn't get down before 10 beds were full the guys who own the beach beds can be very unfriendly I saw them chase 3 parties away gave them their money back and told them to do one. Knew they could pick and chose who they wanted on the beds.Also heat was unbareable after midday.,3, February 2020
3147212,"Clean beach and water, safe and good for water sport. Good for Families with kids, very nice sunset and the beach is excellent for walk",5, February 2020
3147217,"Spent Christmas Day on this beautiful beach, get there before 11 to make sure you get sun beds together if there are a few of you.",5, December 2019
3147219,"It felt like a snow under the feet, never ever experience anything like that, amazing stones in the end of the beach, so I would recommend to go for them straight from the beginning",5, February 2020
3147221,Karon beach is a good option for swimming but it is crowded and the chairs for some reasons are pushed back away from the beach.If I had to chose between karon and kata. I would kata beach.,4, January 2020
3147225,"This is one of three main beaches in the area.  Its the largest and probably the quieter of them.  The beach is kept clean and tidy although that is a challenge when there are so many people around.  The water is clear, warm and lovely to swim in.  However, there were life guards on view and warning signs indicating the potential for rip tides at certain times of the year.  If your sensible then its a really safe beach.The hotels in the area are generally low rise and spread out along the beach front.  So the visitors are generally spread out so it does nt seem as busy as some resorts you get these days.",4, January 2020
3147226,"I was expecting this beach to be less popular, sadly not, so many people here which was fine but didn't meet my expectations. Perfect for sunset but no restaurants directly in the beach. There are snack huts and massage huts on the beach though",3, February 2020
3147228,This is a beautiful beach and less busy the the Patong Beach. Just dont understand why no sunbeds are allowed here. Its white sand and quite wide and long,4, February 2020
3147237,Great and clean beach. If there would be more bars it would be even more nice. The area between the beach and the road could be cleaned from time to time.,4, January 2020
3147239,Beautiful with white Sandy Beach and clear water .not clear though like phi phi but yes excellent for sun bathing and swimming. Not very crowded but we'll equipped with people and tourists to not bore you. Night market near by beach is also colorful and full of massages centers.,5, December 2019
3147246,A large and long beach but sun beds far too overcrowded. Not much by way of beach bars/restaurants other than in Karon town. Better travelling to Kata beach or Kata Noi beach.,3, January 2020
3147254,Our favourite beach long clean sandy beach shops behind you for drinks and food all the way along ski hire etc also.We use it most days,5, January 2020
3147257,"Karon beach is one of the nicest we found on Phuket Island and although it got pretty busy towards the end of our stay, we were easily able to find available sunbeds a bit down the road. Just don't be lazy to walk for 5mins.",4, January 2020
3147258,"My boyfriend and I spent a lot of time on this beach while on holiday in Phuket. The beach is long and isn't overcrowded. It is walkable from one side to the other and makes a nice day walking along it. The sea is warm and we had fun jumping in the waves. Beach is nice and clean and there are fantastic little beach bars which sell the most amazing fruit shakes, beers and coconuts, perfect to cool down in the heat.",5, December 2019
3147261,Karon Beach is a lovely long sandy beach. It is flat so easy to walk on. It is over 4 KM in length The beach is busy but not super crowded. You can rent 2 lounge chairs with an umbrella for 200 Bhat the chairs are lined up at several locations along the beach A custodian will come by to give you your daily ticket stubThe major tourist group we encountered were Russian but many languages are heard. There are a couple of limited beverage stands along the beach but in many areas if you take a two minute stroll across the street that runs parallel to the beach there are lots of shopsSeadoos paddle boarding and para sailing are all available The beach is very clean,5, January 2020
3147265,"So and so, the beach itself is big but the sand and the water are not the bests ever. Surely the best part is the one on the beginning coming from Patong",3, February 2019
3147272,"Really nice beach to relax. Pristine very fine soft white sand and clear water with turquoise hue sets for the mood. Swim, walk bare foot, enjoy. All you will found around are foreigners here, locals you will see helping you get relaxed with massage offerings by the beach, other services. You have water activities available and snorkelling too on 1 corner",5, December 2019
3147274,"At the right of the beach, just keep walking or get a taxi, hire a bike you can get a typical Thai experience away from the rat race. There is a lovely Thai bar just up from the beach, lovely food etc. Sit there and watch the world go by or go to watch the magnificent sunset.",5, January 2020
3147281,"Perfect beach to spend your days at, soft sand, soft waves to relax in, wide and long beach never feels crowded. The area Karon is full of Russians everywhere everything is translated to Russian sometimes felt like Thai people speak better Russian than English. Food is good there are great places to find cheap food but everything else is overpriced. Gifts clothes etc. Loads of activities like jet ski water sports and parachute.",5, January 2020
3147283,"Beautiful, clean, not ever crowded, warm water.Close to great restaurants and 5 star resorts.I much prefer it over patong",5, January 2020
3147287,Sadly discovered this beach the day before we were leaving.  Highly recommend the beach is stunning and the palm trees in the background absolutely beautiful.  Caught the sunsetting here and the photos look unreal.,5, December 2019
3147290,"Very clean beach, you have to bring your own shade or rent one (if you are lucky to find available)Sandy beach with calm waters, however, current could be strong sometimes (it is open sea after all).Many water sport activities available (banana boat, jet ski, para-sailing, strom) however, a bit pricey. Well worth visiting. Personally I found it less crowded and cleaner than Patong beach (it could also have to do with the fact that i was staying at the Hilton Arcadia which is overlooking the beach).",5, December 2019
3147291,"We read bad reviews for Karon, but we were satisfied. Long and clean beach with hotels, bars and shops, you can rent a sunbed and do watersports (jet skiing, parasailing). You will enjoy it. Finally; you can go there for 40 bath with local (blue) bus.",5, January 2020
3147292,A stunning view with clear blue water and perfect places to swim and snorkel.It is also very clean and has a decent amount of shade.,4, January 2020
3147295,"It was a beautiful beach with clear water to swim and snorkel in, however it was very busy. It is quieter than Patong but busier than Kata.",4, January 2020
3147298,"Our experience on the beach, sitting in chairs or swimming on the water, was mostly good, rip currents aside.  I could have done with fewer people trying to sell us things.  And our experience with parasailing was dangerous and left us injured, so I wouldn't recommend that.",4, December 2019
3147299,"You won't be disappointed with this beach,it's picturesque. Beach umbrellas are available to rent for the day.",5, January 2020
3147303,Big beach. Great water and sand like all beaches on this coastal side of Phuket.We beach hopped on this day and ended up visiting 4 beaches. This was one of them.,4, December 2019
3147305,"Karon beach is very clean, soft sands and very clean water..  there are rentable umbrellas (shades) and sunbeds available. There are also several locals provides water sport activities, only downside they do really annoy other people during  take off or landing parasailing. They do it dangerously for the people who swimming  or sunbathing..",5, January 2020
3147309,"A truly beautiful beach, it's long coast line makes for lots of space so it does feel like you are sitting ontop of other beach goes, not much shade from trees so it's best to bring an umbrella, the waters are usually calm and warm making it a great place to lounge in the ocean.Beautiful and clean, a much nicer beach than patong",4, December 2019
3147311,"Karon beach is a great place for families. The beach is clean and offers some play areas and restaurants near by. Great for families. We stayed at Patong before, but I prefer Karon as it is much cleaner and quieter. There are many hotels and shops near by and it is always easy to find a tuk tuk or a taxi.",4, December 2019
3147317,Beautiful and clean beach where one can sit and enjoy the sunset or just walk around. You can also choose to enjoy the waves or swim in the sea. It is not too crowded which makes it one of the best beaches of Phuket.,5, November 2019
3147329,Love it. Hello from RICCIONE.  I love yojr ospjtality. I come back sure of corse. I lkve you everybody,5, December 2019
3147330,A fantastic and large beach. Very clean for the most part and they have 3 playgrounds for the kids. Across the street are many different restaurants and shops to check out.,5, December 2019
3147333,"Absolutely beautiful beach and while it is less crowded it is also not as accessible to restaurants and shops like in Patong, I prefer Karon over Patong however.",5, November 2019
3147346,"Great beach, white soft sand turquoise clear waters, the waves added some fun.The beach has beach bars to buy drinks and snacks and obviously you have sellers on the beach selling items, however it's quite a lot less sellers than patong beachIt has a toilet and shower block to use for a small charge. Just of the beach is numerous bars shops and restaurants also local taxis and tuktuk service to take you back to your hotel. Visited the beach a few times during our stay as it was so nice. At the seas edge you can see big Buddha in the hills and kata view point over the other islands, its so relaxing and beautiful",5, December 2019
3147350,Lovely walk along the pathway to the beach. The water is perfect and clean. Beware of the under two. Many rent a lounge chair. 200bht for the day. In the evening we loved watching the sun set.,5, February 2019
3147351,The Karon Beach is long with white sandy beach beautiful to walk on but its massive and if you need a good walk thats the place to go.We normally went there in the late afternoon to watch the sunset walking with your feet in the sea water and drink cold fresh coconut juice.,5, November 2019
3147353,"Karon Beach is massive - it takes a long time to walk along it, and on the road there are shops and food areas.  I found the beach had lots of areas where there was nobody there, but other ares had lots of people there.  The sand is good and clean but some people don't always clean up their rubbish.",4, November 2019
3147358,the beach is wide and quite long so nice to walk here during the day with your feet in the sea! Locals do sell you their food etc and some do shout but walk ahead is fine,4, December 2019
3147361,"This location is gorgeous, not as crowded at patong but some locals really lack respect , unlike lost thai people i came across. Either the language gap makes them that way or being purely commercial and wicked. Nyways most people ain't that ways but this guy at the karon beach renting beach chairs needed to be set straight.",3, December 2019
3147365,The beach is clean and long beach. you can find shops on the streets. and its really good for foreigners.,5, January 2019
3147366,"We personally preferred Karon beach over Kata and Patong. It was a bit calmer and less crowded more chilled. On a weekend there's a small market just at the entrance of the beach which makes getting eats and other pretty nice.It's just a personal preference. Whisky there is water sport activities and other going on here, it's still a way better beach to play in as well.",4, November 2019
3147367,more laid back than patongs hustle and bustle. a large stretch of fine sand and clear water. as usual plenty of hawkers selling a large range of goods but the further you walk away from the center the less hassle you get.,5, September 2019
3147370,"Staff very helpful and friendly, we enjoyed our visit The hotel was very central and near the beach We had B&B the breakfast was great, plenty on offerDefinitely would stay again",5, October 2019
3147371,Perfect family destination. Beach is huge and clean. Karon night market is good shopping and eating place. You can also find Indian restaurants around if you are bored with thai food. Tuk tuk here is bit costly and you need to bargain a lot.,5, November 2019
3147373,"Karon Beach was right by the hotel we were staying. The beach was warm and very clear. There is no service from the hotel as the beach is public, but there some locals you can rent an umbrella to get some shade. The beach was in great conditions and we had a great time.PROs: public (free), beautiful beachCONs: no service, need to rent umbrella from locals",5, April 2019
3147375,"couldn't believe  the sand squeaks just like squeaky beach in Australia, one of the best beaches that we found here, crystal clean waters banana chairs umbrellas, shops near when you feel like a nice cold beer from the tap!! ,",5, November 2019
3147377,"Went to Karon beach on Sunday, wow what a beach -crystal clear water .you can have sunbeds and umbrellas for hire or lay under the palm tree in the shade.there are fresh food store along the streets .jet ski hire and parasailing  the whole place super clean fantastic day",5, November 2019
3147380,"Karon beach is clean and beautiful and  stretches for miles, people of all ages go there there are restaurants nearby, to rent a beach chair it cost 100 baht a day for 1 person you can sit or lay down under  your umbrella and enjoy the refreshing ocean.",5, October 2019
3147384,"Absolutely beautiful! The colour of the sand, the water, how space full it is! Loved it! Completely worth it to visit!",5, November 2019
3147385,"If you want a quiet holiday on the beach, Karon would not be for you, although I enjoyed being in Thailand & the trips I did from there it is very busy & it was not high season. But central for trips as in good location for Phuket. I doubt I would choose to stay there again.",3, November 2019
3147386,Buitiful beach golden sands and very long does not get to packed few water sports the paragliding looks a bit hit and miss.but fantastic place for sunset. .,5, November 2019
3147387,"This is love beach, its nice to walk from one side to other, and have lovely paddle, or have lively swim, it's very peaceful and clean beach",5, September 2019
3147392,Nice clean beach.  Clean warm sea water.   Safe for swimming.Plenty of sun beds at about 200baht a day.  That's 2 needs and one brolley.,5, November 2019
3147394,"The beach is beautifully, sandy and very long. Well developed with a lot of sunbeds, umbrellas, water sports, beach massage and life guard. Just beware of the sea currents that can be extremely strong, do not underestimate it!",5, November 2019
3147400,"Fantastic beach, especially the quieter northern end. Clean sand and fantastic waves with a stunning setting it is instagram paradise",5, November 2019
3147401,"Lovely clean beach. Not patrolled. Don't swim between flags, that's the danger rip areas. Not much shade. Lots of sellers in the area.",5, November 2019
3147403,This beach is why Thailand is so beautiful.  It has beautiful sand and blue water. Not crowded and quiet.,5, November 2019
3147404,This is my favourite beach in Patong. Karon is very relaxing place to go. If you wanted a peaceful beach in Patong must to to this one. Less people and less noise. We went here around 6 in the evening and we enjoyed it. But this place is far from town. Only few options for restaurants around. The good thing is that there are markets that you can go and drink alcohol and eat grilled seafoods. The prices are cheaper as compared to the center of patong. ️️,4, November 2019
3147405,I was here once again in August and found Karon Beach to be as enticing as ever. The waters were limpid and the sands powdery!,4, August 2019
3147408,"I really liked this beach, 1o minutes away from Patong it's much calmer and all in all cleaner and nicer. Amazing  sunsets",4, November 2019
3147414,"Its not the best beach in Phuket but one of them .. easy to reach, close to the main street and almost in center of Karon.",5, May 2019
3147415,"I did not like this beach at all! It was dirty and narrow, without sand and the waves came very up to the shoreline so basically there was not really a beach like a place to stay and hang out. not a lot of beds were provided in the area and again it was very dirty. we even saw rats going around. I regret spending a day there, instead of staying at Kata Beach where we were before",2, July 2019
3147421,Another lovely beach in Phuket has plenty of food options most are reasonably priced and many places to buy gifts for people back home. Ill definitely go back to this beach,3, October 2019
3147425,"Karon beach was just across the road from our Hotel. There are multiple places to swim with lifeguards in duty all the way along.It was clean and not overcrowded and the water was clear and warm. There was also parasailing available towards the centre of the beach. Would recommend Karon beach over other beaches in the area. Avoid Patong beach with its muddy water, rubbish, overcrowding and massage tents.",2, September 2019
3147427,I thought this beach was lovely until.... My husband went for a walk to the north end and saw the sewerage outlet.  Not swimming there!,3, October 2019
3147431,"Beautiful village . Second time here , Kata is lovely too and very close , go to the garage for love music every night . Brilliant atmosphere",5, October 2019
3147435,"Lovely beach , nice shops nearby and market stalls , massage on beach cheap 400 Bart approx $20 Au for l hour",5, October 2019
3147437,Hotels are built directly across the road to the beach. Clean and accessible to all. Less busy than The other beaches away from the more commercial sections of the town. A more family orientated area.,3, October 2019
3147440,Lovely beach- child friendly with sun beds for hire at 100THB eachJust a caution this beach has rip tides- be sure and swim in the safe zone.,5, October 2019
3147442,"we stayed across the road and this is a quiet beach, has less tourists and to walk the entire beech is beautiful in the evening. We managed this twice before the rain us.",4, October 2019
3147444,"Much better than Patong, much cleaner, less people. The water is a lot clearer and there are a few small waves. Even the weather seems improved over Patong, maybe something to do with the hills etc.",4, October 2019
3147447,Karon Beach is a beautiful. It looks different at different times of the day. It is a moderate walk from one end to the other. The roadside walk is also lovely and the paving is also in good condition (pram friendly for families). Water sports are available for the entire length of the beach. You can purchase beverages. There are also playgrounds on site. The beach deck chairs cost 200baht. There are some sales people in the middle to later part of the day. It is also patrolled.,4, October 2019
3147448,"This beach was a million times better than Patong Beach. It was far less touristy and hardly crowded. The beach here is rather long, so there is a lot of space for people to spread out. You can still feel as though you're on a private beach if you wander far enough. The water here was also much cleaner and crystal blue. Beautiful!",5, September 2019
3147449,"Patong is oversold with its nearby nightlife. Surin and Kamala are too secluded. Karon has just the right amount of people on its white clean sandy beaches. With Para Sailing and Swimming available on the beach along with beach shacks which serve drinks and offer guests opportunity just to soak in the surrounds or sun tan. The stretch is clean, long and a great place to hang around with your family. Right across the beach road, again the right amount of massage parlours, restaurants and also hotels. All in all, an excellent place for some family R&R",5, September 2019
3147451,"Recently we visited karon beach, it's bit hill to drive a bike but it's worth of visit. We stay there for couple of hours. Good sunny weather gives advantage of the day. Beach is clean and sunbed are avaliable for rent. Nearby 7 eleven is there to get your drinks. Tides are quite heavy for seabath at the time we visited. Overall great exprience",5, October 2019
3147453,"Although many hotels line the front the beach is not too busy, and the sea is ridiculously warm. Very clean, hardly any plastic to be seen and the sea looks Crystal clear. Lots of activities if you like jet ski or para gliding, we preferred just to bob in the waves. Nice restaurant at the very end worth the walk.",4, October 2019
3147454,"Beautiful views, not too busy & water was nice & warm. Kids enjoyed playing in the sand and water.There were beach chairs you can rent for shade, also you can do water sports.",4, October 2019
3147455,"Unfortunately our trip to Karon Beach was cut short by a heavy rainy season storm, but our time there was pleasant. Just a few km South from Patong Beach, the area is a little less developed and less crowded. Beach is quite clean and pleasant, wish we could've spent more time there.",4, October 2019
3147456,"All the beaches are nice along the Phuket coast. This beach has nice yellow sand, blue water. Unfortunately whilst we were their the beach was closed for swimming due to high swells. A few people were out sunbathing and paddling in the shallows.",4, August 2019
3147459,"One of the best beach in Phuket after islands' beaches (of course). We had a great time here, it's little bit wavy but that's also fun. You can rent sunbeds and umbrella. You can have a massage and buy a drink as well.",4, September 2019
3147461,"La playa es de arena fina y limpia, tranquila y con servicio de socorrista, y además atentos a su trabajo.",4, September 2019
3147463,Some sun beds - red flags during rainy season- no smoking on beach- parasails land and take off on the beach Eateries and 7-11 across the road,4, September 2019
3147465,Most of the beach was marked closed due to potential rips. Only one section that was patrolled was ever marked open.,4, September 2019
3147466,"Water was perfect temp and waves were just right. Lots of people around. I felt safe being alone, as quality of people seemed like that whom would help me if I had trouble. Only had my cover up and room key in my bag (which no one knew), but it remained undisturbed with my shoes while I was in the water. Nice that it is on a strip with many food/drink/ shopping choices",5, September 2019
3147467,Was surprised there was surf here. Plenty of seats. Have to watch the kids with the water. Not the safest water.,5, September 2019
3147472,"Come on my Thai folk - you have a great beach (Karon Beach) but because of the plastic that washes up with each tide, the beach is somewhat unsightly... take care of your natural treasure, and clean the beach each morning/afternoon tide to keep the beach in pristine condition!",4, September 2019
3147473,We were lucky to have this as our local beach for 8 days whilst in Thailand. Whilst having alot of people on the beach it was very quiet and safe,5, September 2019
3147474,"This beach is much quieter and better than neighbouring Patong beach.Sand was lovely and water clear compared to patong beach, less pollution.Best beach in Thailand and great for families.",5, September 2019
3147477,"Found this beach to be clean, the sand was clear and so was the water. No rubbish seen, it was a nice walk from one end to the other. Not very busy and it had your usual beach activities such as parasailing and People selling food and trinkets. Very peaceful when I visited.",5, September 2019
3147478,"Karon Beach is located on the west coast of Phuket, south of Patong and north of Kata. Karon and these two beaches are known as the three major beaches of Phuket. Compared to Patong Beach, the coastline here is longer and wider, the water is clearer, the beach is softer, and there are fewer tourists. On this coastline of nearly 4 km, you can enjoy a view of the sea while walking. The location is lovely. The beach provides a beautiful view of the sea, but it has large waves, so be careful when swimming.",5, August 2019
3147479,We visited all other beaches but kept finding that we just wanted to keep coming back to this amazing beach!,5, March 2019
3147480,A beautiful and natural beach with soft sand and clear waters. Vendors nearby charge 200bhat for 2 loungers and a parasol for the day.,5, September 2019
3147481,"Beautiful beach but the canoes make the beach hard to breathe. Trash along the beach, waves are strong, stronger than Kata. Be careful when we swim here.",3, September 2019
3147482,Away from the hustle and bustle of phuket town... this beach provides wonderful hotels... seafood restaurants... street food... bars and souvenir shops.Few sight seeing points are also nearby. Enjoyed thoroughly.,5, August 2019
3147483,Karon Beach was just one of a few beaches we visited around the Patong and Karon areas. The beach was much more enjoyable than Patong or Kalim and easy to access. Few peddlers during the low season. The water and sand were very clean.,4, September 2019
3147484,The beach is long with beautiful sand and there are various water activities available. The beach is westward facing so you can see some great sunsets here too. My main disappointment was seeing the huge amount of plastic debris washed up on the beach. I wish the local community authorities would put some effort into cleaning up their beaches otherwise tourists will go elsewhere and they will see a step decline in business!,4, August 2019
3147486,Good beach. It was crowded however during the month of March. Beach and restaurants are fine but the TukTuk drivers are scoundrels of the highest order.,3, March 2019
3147488,"Beach was very big, sand was almost white. There were very few people. Beach was clean compared with for example Kata Beach. If you want to relax in silence you have to go to Karon Beach.",5, August 2019
3147491,We have been visiting Karon Beach for many years. Despite bein ga hiddne gem the embience remains and it is a very pleasant place to visit surrounded by good value family restaurants and affordable bars. Not a girlie bar in sight and a great palce for a family or couples visit or holiday.,5, August 2019
3147494,"This is not a lush tropical beach, it was littered with rubbish and had a very swift undertow when we were there, the seas were big on the day we attended. Still if you enjoy the ocean you will overlook these minor points.",3, August 2019
3147496,"Beautiful quiet beach, white sand beach and clear water. Not too far from Patong, defintely recommeneded if you staying in patong as beach there very dirty",5, August 2019
3147497,"We went in for a swim was ok, not the best time to be in the water because of the season. There was some garbage which put me off as i walked back to the resort.",3, August 2019
3147498,Very busy white sandy beach. Deck chairs and umbrellas for relaxation and para sailing and jet skis for the adventurous.,4, March 2019
3147501,I love the beach! It's beautiful! I didn't swim there. Just walked pass and have a look. It feel like in Australia. They do have beach chairs. I think u need to rent it. Not sure about the cost though. They do have some water sports activities too. But oh boy it's so damn hot even at 4pm. You should drop by when you're in Karon!,4, August 2019
3147502,"Great clean beach, beds were only 100, cool drinks, ice creams etc easy to buy and all very reasonably priced.",5, August 2019
